,Rep,Peak,Intensity,UV,Substrate,cma,
302069,5,1003.095947,43.841015,0h,PRT,44.16474336,Phe
303084,10,1003.095947,63.411648,0h,PRT,63.47654691,Phe
304099,16,1003.095947,62.223911,0h,PRT,62.25559591,Phe
305114,0,1003.095947,15.557661,0h,PRT,19.50061945,Phe
306129,5,1003.095947,11.659702,0h,PRT,14.61474473,Phe
307144,10,1003.095947,10.810219,0h,PRT,13.54996227,Phe
308159,16,1003.095947,10.227833,0h,PRT,12.82005009,Phe
309174,0,1003.095947,96.890297,0h,PRT,78.22710182,Phe
310189,5,1003.095947,110.759468,0h,PRT,56.77251109,Phe
311204,10,1003.095947,109.692589,0h,PRT,50.24229645,Phe
312219,16,1003.095947,115.637802,0h,PRT,51.49055818,Phe
313234,0,1003.095947,159.212006,0h,PRT,99.37074873,Phe
314249,5,1003.095947,160.595322,0h,PRT,88.04477309,Phe
315264,10,1003.095947,164.886414,0h,PRT,88.15003182,Phe
316279,16,1003.095947,170.76593,0h,PRT,90.17118764,Phe
317294,0,1003.095947,67.534836,0h,PRT,89.90233973,Phe
318309,5,1003.095947,58.26535,0h,PRT,77.56271,Phe
319324,10,1003.095947,54.227837,0h,PRT,72.18840536,Phe
320339,16,1003.095947,52.478142,0h,PRT,69.85911636,Phe
321354,0,1003.095947,179.000732,0h,PRT,50.95086727,Phe
322369,5,1003.095947,146.57193,0h,PRT,41.40840218,Phe
323384,10,1003.095947,159.832047,0h,PRT,65.49918155,Phe
324399,16,1003.095947,164.849258,0h,PRT,76.47305018,Phe
