Peak	Intensity	UV	Substrate	cma	Aminoacid
829	-28.585836	0h	PRT	29.37192582	Tyr
829	343.444672	0h	PRT	183.0974975	Tyr
829	223.268875	0h	PRT	161.3713845	Tyr
829	193.927673	0h	PRT	155.4197787	Tyr
829	183.573257	0h	PRT	155.5312575	Tyr
1459	230.3776727	72h	Olivine	298.849669	Leu
1459	113.5248656	72h	Olivine	157.1847404	Leu
1459	491.6198727	72h	Olivine	345.2038167	Leu
1459	75.7715	72h	Olivine	115.6929989	Leu
1459	211.8396513	72h	Olivine	236.464403	Leu
1459	220.3959877	72h	Olivine	203.3199212	Leu
1459	551.8905838	72h	Olivine	328.6873893	Leu
1459	231.7600994	72h	Olivine	160.809404	Leu
1459	77.63109091	72h	Olivine	220.6569951	Leu
1459	224.1765208	72h	Olivine	170.0215364	Leu
1459	289.524109	0h	Olivine	256.4120681	Leu
1459	160.485519	0h	Olivine	355.5625117	Leu
1459	138.000931	0h	Olivine	175.5840491	Leu
1459	191.96405	0h	Olivine	313.8983892	Leu
1459	-19.216925	0h	Olivine	255.7338764	Leu
1459	388.242584	0h	Olivine	290.9089745	Leu
1459	169.233673	0h	Olivine	174.6049224	Leu
1459	674.173523	0h	Olivine	812.269201	Leu
1459	288.474396	0h	Olivine	408.1996311	Leu
1459	479.635712	0h	Olivine	683.2661189	Leu
1459	381.2508718	72h	MGS-1	193.0808988	Leu
1459	234.1480582	72h	MGS-1	280.3926483	Leu
1459	125.6534032	72h	MGS-1	103.616611	Leu
1459	92.44397857	72h	MGS-1	105.8704431	Leu
1459	251.6094536	72h	MGS-1	186.7005972	Leu
1459	142.6485118	72h	MGS-1	160.3096266	Leu
1459	27.2027125	72h	MGS-1	142.2101965	Leu
1459	382.8879657	72h	MGS-1	347.3809418	Leu
1459	458.0549404	72h	MGS-1	298.4025718	Leu
1459	121.642445	72h	MGS-1	142.186858	Leu
1459	410.873535	0h	MGS-1	487.9039055	Leu
1459	242.267181	0h	MGS-1	275.6230655	Leu
1459	123.037704	0h	MGS-1	135.09182	Leu
1459	259.663086	0h	MGS-1	145.4185145	Leu
1459	168.528702	0h	MGS-1	312.424344	Leu
1459	118.2743	0h	MGS-1	206.3326935	Leu
